step,actor/entropy_loss,actor/grad_norm,actor/lr,actor/pg_clipfrac,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/grad_norm,critic/kl,critic/kl_coeff,critic/lr,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,critic/values/max,critic/values/mean,critic/values/min,critic/vf_clipfrac,critic/vf_explained_var,critic/vf_loss,critic/vpred_mean,env/finish_ratio,env/number_of_actions/max,env/number_of_actions/mean,env/number_of_actions/min,env/number_of_valid_action,env/number_of_valid_search,env/ratio_of_valid_action,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,mfu/actor,mfu/critic,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,state_tokens/coverage,state_tokens/total,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_per_token_ms/update_critic,timing_per_token_ms/values,timing_s/adv,timing_s/gen,timing_s/ref,timing_s/save_checkpoint,timing_s/step,timing_s/testing,timing_s/update_actor,timing_s/update_critic,timing_s/values,val/test_score/nq
24,1.128,1.394,0.0,0.004,-0.207,0.001,3.461,0.0,-1.92,4.665,0.003,0.001,0.0,1.002,0.23,-0.006,1.002,0.228,-0.005,1.0,0.229,0.0,0.801,0.22,-0.473,0.0,-0.008,0.107,0.258,0.969,4.0,2.039,1.0,1.963,0.994,0.98,55963.0,55962.0,62332.0,55962.75,51135.0,11197.0,0.108,0.027,0.0,251.0,161.672,153.0,0.002,2315.0,712.746,60.0,0.346,126303.0,0.001,0.197,0.009,0.079,0.314,0.054,0.37,71.817,4.236,,281.202,,35.482,140.561,24.394,
25,1.132,3.796,0.0,0.003,-0.086,-0.001,3.393,0.0,-5.73,15.403,0.004,0.001,0.0,1.002,0.245,-0.005,1.002,0.257,-0.004,1.0,0.258,0.0,2.547,0.312,-0.404,0.0,-0.011,0.093,0.214,0.963,4.0,2.152,1.0,2.041,1.078,0.971,58485.0,58484.0,61724.0,58484.25,55472.0,6252.0,0.112,0.028,0.0,230.0,161.279,151.0,0.002,2416.0,752.537,52.0,0.329,126614.0,0.001,0.193,0.009,0.077,0.301,0.052,0.397,74.294,4.293,,284.724,,36.052,140.9,24.417,
26,1.183,2.243,0.0,0.002,-0.108,0.0,2.663,0.0,-1.683,15.668,0.006,0.001,0.0,1.001,0.237,-0.008,1.001,0.237,-0.008,1.0,0.238,0.0,0.523,0.048,-0.395,0.0,0.01,0.132,0.11,0.977,4.0,2.117,1.0,2.047,1.07,0.981,57742.0,57741.0,64464.0,57741.875,51772.0,12692.0,0.113,0.028,0.0,220.0,161.074,153.0,0.002,2132.0,741.143,63.0,0.321,121969.0,0.001,0.191,0.009,0.076,0.304,0.053,0.35,72.426,4.319,,281.566,,35.224,140.463,24.46,
27,1.123,2.199,0.0,0.004,0.003,0.001,2.803,-0.0,-1.958,24.956,0.008,0.001,0.0,1.002,0.216,-0.007,1.001,0.225,-0.007,1.0,0.227,0.0,1.789,0.402,-0.422,0.0,0.01,0.113,0.442,0.961,4.0,2.078,1.0,1.969,1.008,0.971,55711.0,55710.0,60411.0,55710.625,51327.0,9084.0,0.109,0.027,0.0,254.0,160.918,151.0,0.002,2122.0,709.561,47.0,0.332,120754.0,0.001,0.209,0.009,0.079,0.316,0.055,0.373,75.858,4.221,,285.488,,35.163,140.863,24.702,
28,1.076,1.818,0.0,0.005,0.129,0.001,12.25,0.0,-1.638,14.076,0.008,0.001,0.0,1.002,0.216,-0.007,1.002,0.229,-0.007,1.0,0.23,0.0,0.809,0.354,-3.891,0.0,0.008,0.084,0.239,0.975,4.0,2.117,1.0,2.035,1.061,0.978,56743.0,56742.0,60863.0,56742.5,49945.0,10918.0,0.11,0.028,0.0,265.0,161.352,151.0,0.002,2321.0,725.25,83.0,0.311,115529.0,0.001,0.196,0.009,0.078,0.31,0.054,0.407,72.596,4.255,,282.55,,35.553,140.909,24.522,
29,1.091,2.623,0.0,0.003,0.108,0.0,4.003,0.0,-2.556,19.015,0.006,0.001,0.0,1.002,0.273,-0.006,1.001,0.273,-0.005,1.0,0.273,0.0,0.922,0.068,-1.461,0.0,0.014,0.097,0.109,0.977,4.0,2.086,1.0,2.012,1.035,0.981,56086.0,56085.0,62102.0,56085.875,51201.0,10901.0,0.109,0.027,0.0,244.0,161.25,153.0,0.004,2065.0,715.092,58.0,0.319,116737.0,0.001,0.195,0.009,0.079,0.314,0.054,0.415,71.469,4.255,,281.361,,35.376,141.086,24.405,
30,1.038,2.589,0.0,0.004,-0.064,0.0,8.512,0.0,-2.482,17.579,0.005,0.001,0.0,1.002,0.24,-0.01,1.002,0.247,-0.009,1.0,0.248,0.0,1.188,0.373,-2.484,0.0,0.012,0.105,0.391,0.986,4.0,2.129,1.0,2.068,1.082,0.984,57792.0,57791.0,60295.0,57791.875,54025.0,6270.0,0.113,0.028,0.0,262.0,162.111,153.0,0.002,2285.0,740.887,82.0,0.312,118190.0,0.001,0.196,0.009,0.076,0.306,0.053,0.4,74.232,4.326,,284.575,,35.27,141.616,24.434,
31,1.114,1.657,0.0,0.004,0.243,0.001,7.996,0.0,-3.065,14.887,0.004,0.001,0.0,1.002,0.262,-0.008,1.002,0.279,-0.007,1.0,0.279,0.0,1.398,0.322,-2.438,0.0,0.013,0.073,0.202,0.971,4.0,2.115,1.0,2.047,1.076,0.982,57715.0,57714.0,61147.0,57714.875,54775.0,6372.0,0.112,0.028,0.0,236.0,161.973,152.0,0.002,2218.0,739.822,102.0,0.315,119463.0,0.001,0.19,0.009,0.077,0.304,0.053,0.355,71.858,4.244,,281.03,,35.459,140.423,24.401,
32,1.096,1.65,0.0,0.003,-0.007,-0.0,4.017,0.0,-1.545,24.133,0.002,0.001,0.0,1.003,0.255,-0.009,1.003,0.266,-0.007,1.0,0.266,0.0,0.727,0.019,-1.984,0.0,0.005,0.125,0.069,0.971,4.0,2.092,1.0,1.99,1.02,0.973,56033.0,56032.0,61870.0,56032.375,51592.0,10278.0,0.106,0.027,0.0,228.0,161.689,153.0,0.002,2278.0,713.816,54.0,0.323,117869.0,0.001,0.196,0.01,0.081,0.311,0.055,0.393,71.684,4.261,,280.947,,36.272,139.589,24.434,
33,1.1,1.746,0.0,0.002,0.038,0.0,7.407,-0.0,-5.602,8.159,-0.001,0.001,0.0,1.003,0.276,-0.009,1.003,0.293,-0.008,1.0,0.293,0.0,2.531,0.34,-3.203,0.0,0.029,0.099,0.36,0.982,4.0,2.09,1.0,2.031,1.049,0.984,56359.0,56358.0,63192.0,56358.5,52960.0,10232.0,0.11,0.027,0.0,235.0,162.135,152.0,0.002,2313.0,718.467,76.0,0.312,114604.0,0.001,0.196,0.009,0.078,0.313,0.054,0.375,72.106,4.244,,282.175,,35.298,141.271,24.432,
34,1.029,1.875,0.0,0.004,-0.199,0.001,2.511,-0.0,-2.944,15.297,0.001,0.001,0.0,1.004,0.268,-0.011,1.004,0.272,-0.008,1.0,0.271,0.0,1.32,0.293,-0.293,0.0,0.014,0.134,0.189,0.975,4.0,2.082,1.0,2.002,1.027,0.979,55840.0,55839.0,59203.0,55839.125,52017.0,7186.0,0.108,0.027,0.0,224.0,161.383,153.0,0.002,2175.0,711.104,50.0,0.318,115916.0,0.001,0.195,0.009,0.08,0.316,0.054,0.379,70.885,4.22,,280.85,,35.651,141.137,24.331,
35,1.1,1.714,0.0,0.004,-0.153,0.0,2.153,0.0,-1.544,29.444,-0.002,0.001,0.0,1.005,0.315,-0.01,1.005,0.331,-0.008,1.0,0.33,0.0,0.43,0.034,-0.385,0.0,0.019,0.153,0.077,0.973,4.0,2.094,1.0,2.021,1.049,0.981,55989.0,55988.0,59359.0,55988.25,52090.0,7269.0,0.108,0.027,0.0,241.0,161.553,149.0,0.002,2363.0,713.264,75.0,0.31,113240.0,0.001,0.195,0.009,0.079,0.314,0.055,0.449,71.128,4.221,,280.71,,35.589,140.608,24.426,
36,1.073,1.968,0.0,0.003,0.024,-0.0,4.074,0.0,-1.646,3.484,-0.002,0.001,0.0,1.004,0.299,-0.014,1.004,0.325,-0.012,1.0,0.324,0.0,0.77,0.33,-1.805,0.0,0.033,0.106,0.359,0.969,4.0,2.096,1.0,2.023,1.055,0.981,56391.0,56390.0,62136.0,56390.5,51243.0,10893.0,0.109,0.027,0.0,260.0,161.596,152.0,0.002,2437.0,719.506,53.0,0.308,113513.0,0.001,0.197,0.01,0.079,0.313,0.054,0.406,72.5,4.314,,282.797,,35.57,141.292,24.413,
37,1.065,1.51,0.0,0.003,0.076,0.001,5.631,0.0,-2.222,11.319,-0.002,0.001,0.0,1.008,0.247,-0.011,1.008,0.268,-0.008,1.0,0.268,0.0,0.984,0.283,-2.328,0.0,0.022,0.097,0.185,0.98,4.0,2.102,1.0,2.049,1.068,0.986,57209.0,57209.0,61151.0,57209.0,52960.0,8191.0,0.112,0.028,0.0,221.0,161.691,153.0,0.002,2222.0,732.199,45.0,0.314,117643.0,0.001,0.194,0.009,0.077,0.308,0.053,0.395,72.677,4.276,,282.207,,35.088,141.084,24.403,
38,1.108,1.784,0.0,0.003,-0.057,-0.001,3.561,0.0,-3.386,22.608,-0.004,0.001,0.0,1.007,0.261,-0.013,1.007,0.278,-0.011,1.0,0.277,0.0,1.711,0.04,-1.773,0.0,0.021,0.126,0.077,0.982,4.0,2.119,1.0,2.057,1.074,0.983,56801.0,56801.0,59227.0,56801.0,54128.0,5099.0,0.109,0.028,0.0,242.0,161.992,153.0,0.002,2108.0,725.523,97.0,0.3,111370.0,0.001,0.204,0.009,0.078,0.304,0.054,0.399,75.956,4.277,,283.064,,35.666,138.081,24.415,
39,1.049,2.38,0.0,0.003,-0.095,0.0,3.568,-0.0,-4.744,6.413,-0.002,0.001,0.0,1.005,0.271,-0.017,1.005,0.301,-0.015,1.0,0.301,0.0,2.188,0.324,-1.508,0.0,0.036,0.108,0.364,0.98,4.0,2.17,1.0,2.096,1.115,0.979,58756.0,58755.0,61702.0,58755.875,53238.0,8464.0,0.118,0.028,0.0,228.0,161.0,150.0,0.002,2322.0,757.061,72.0,0.3,116358.0,0.001,0.188,0.009,0.073,0.301,0.052,0.397,72.868,4.28,,282.413,,34.44,141.58,24.477,
40,1.031,2.279,0.0,0.003,-0.064,0.001,5.102,0.0,-6.778,8.789,-0.003,0.001,0.0,1.007,0.297,-0.022,1.007,0.317,-0.019,1.0,0.316,0.0,3.031,0.299,-2.281,0.0,0.044,0.102,0.272,0.971,4.0,2.141,1.0,2.098,1.127,0.988,57821.0,57820.0,60681.0,57820.375,53948.0,6733.0,0.113,0.028,0.0,241.0,161.035,152.0,0.002,2420.0,742.408,56.0,0.289,110013.0,0.001,0.2,0.009,0.076,0.305,0.053,0.458,75.922,4.315,,285.949,,35.215,141.248,24.494,
41,1.084,1.711,0.0,0.004,-0.001,-0.0,2.803,-0.0,-3.361,3.394,-0.0,0.001,0.0,1.005,0.266,-0.02,1.005,0.287,-0.017,1.0,0.287,0.0,1.594,0.322,-0.922,0.0,0.046,0.087,0.292,0.982,4.0,2.119,1.0,2.064,1.082,0.985,56590.0,56589.0,60138.0,56589.125,52484.0,7654.0,0.107,0.028,0.0,245.0,160.998,150.0,0.002,2098.0,723.207,76.0,0.291,107892.0,0.001,0.193,0.009,0.08,0.308,0.054,0.388,71.429,4.221,,280.334,,36.307,139.348,24.358,
